"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","gender"
"4271",6,11,"disamb","fp",89,"disamb fp",4,0,204,204,-0.5,0.5
"4273",6,24,"disamb","fp",89,"disamb fp",1,0,230,230,0.5,-0.5
"4275",6,17,"disamb","fp",89,"disamb fp",2,0,338,338,0.5,0.5
"4277",6,2,"disamb","fp",89,"disamb fp",3,0,270,270,-0.5,-0.5
"4279",6,9,"disamb","fp",89,"disamb fp",2,0,268,268,0.5,0.5
"4281",6,15,"disamb","fp",89,"disamb fp",4,0,404,404,-0.5,0.5
"4283",6,19,"disamb","fp",89,"disamb fp",4,0,170,170,-0.5,0.5
"4286",6,1,"disamb","fp",89,"disamb fp",2,0,394,394,0.5,0.5
"4288",6,8,"disamb","fp",89,"disamb fp",1,0,312,312,0.5,-0.5
"4290",6,20,"disamb","fp",89,"disamb fp",1,0,476,476,0.5,-0.5
"4292",6,23,"disamb","fp",89,"disamb fp",4,0,336,336,-0.5,0.5
"4294",6,6,"disamb","fp",89,"disamb fp",3,0,306,306,-0.5,-0.5
"5096",7,20,"disamb","fp",77,"disamb fp",2,0,305,305,0.5,0.5
"5098",7,4,"disamb","fp",77,"disamb fp",2,0,235,235,0.5,0.5
"5100",7,14,"disamb","fp",77,"disamb fp",4,0,242,242,-0.5,0.5
"5102",7,24,"disamb","fp",77,"disamb fp",2,0,145,145,0.5,0.5
"5104",7,8,"disamb","fp",77,"disamb fp",2,0,128,128,0.5,0.5
"5106",7,21,"disamb","fp",77,"disamb fp",3,0,325,325,-0.5,-0.5
"5108",7,18,"disamb","fp",77,"disamb fp",4,0,212,212,-0.5,0.5
"5110",7,5,"disamb","fp",77,"disamb fp",3,0,165,165,-0.5,-0.5
"5112",7,1,"disamb","fp",77,"disamb fp",3,0,313,313,-0.5,-0.5
"5114",7,19,"disamb","fp",77,"disamb fp",1,0,431,431,0.5,-0.5
"5116",7,16,"disamb","fp",77,"disamb fp",2,0,342,342,0.5,0.5
"5118",7,15,"disamb","fp",77,"disamb fp",1,0,300,300,0.5,-0.5
"5120",7,23,"disamb","fp",77,"disamb fp",1,0,185,185,0.5,-0.5
"5122",7,10,"disamb","fp",77,"disamb fp",4,1,0,NA,-0.5,0.5
"5124",7,9,"disamb","fp",77,"disamb fp",3,0,212,212,-0.5,-0.5
"5126",7,6,"disamb","fp",77,"disamb fp",4,0,188,188,-0.5,0.5
"5128",7,2,"disamb","fp",77,"disamb fp",4,0,263,263,-0.5,0.5
"5130",7,7,"disamb","fp",77,"disamb fp",1,0,331,331,0.5,-0.5
"5132",7,13,"disamb","fp",77,"disamb fp",3,0,304,304,-0.5,-0.5
"5134",7,12,"disamb","fp",77,"disamb fp",2,0,176,176,0.5,0.5
"5136",7,11,"disamb","fp",77,"disamb fp",1,0,168,168,0.5,-0.5
"5138",7,3,"disamb","fp",77,"disamb fp",1,0,154,154,0.5,-0.5
"5140",7,17,"disamb","fp",77,"disamb fp",3,1,0,NA,-0.5,-0.5
"5142",7,22,"disamb","fp",77,"disamb fp",4,0,461,461,-0.5,0.5
"5960",8,1,"disamb","fp",70,"disamb fp",4,0,368,368,-0.5,0.5
"5962",8,10,"disamb","fp",70,"disamb fp",1,0,312,312,0.5,-0.5
"5964",8,21,"disamb","fp",70,"disamb fp",4,0,160,160,-0.5,0.5
"5966",8,16,"disamb","fp",70,"disamb fp",3,0,364,364,-0.5,-0.5
"5968",8,9,"disamb","fp",70,"disamb fp",4,0,396,396,-0.5,0.5
"5970",8,13,"disamb","fp",70,"disamb fp",4,0,174,174,-0.5,0.5
"5972",8,4,"disamb","fp",70,"disamb fp",3,0,1164,1164,-0.5,-0.5
"5974",8,17,"disamb","fp",70,"disamb fp",4,0,314,314,-0.5,0.5
"5976",8,14,"disamb","fp",70,"disamb fp",1,0,308,308,0.5,-0.5
"5978",8,12,"disamb","fp",70,"disamb fp",3,0,346,346,-0.5,-0.5
"5980",8,15,"disamb","fp",70,"disamb fp",2,0,130,130,0.5,0.5
"5982",8,8,"disamb","fp",70,"disamb fp",3,0,572,572,-0.5,-0.5
"5984",8,6,"disamb","fp",70,"disamb fp",1,0,290,290,0.5,-0.5
"5986",8,20,"disamb","fp",70,"disamb fp",3,0,338,338,-0.5,-0.5
"5988",8,2,"disamb","fp",70,"disamb fp",1,0,194,194,0.5,-0.5
"5990",8,11,"disamb","fp",70,"disamb fp",2,0,404,404,0.5,0.5
"5992",8,7,"disamb","fp",70,"disamb fp",2,0,308,308,0.5,0.5
"5994",8,24,"disamb","fp",70,"disamb fp",3,0,174,174,-0.5,-0.5
"5996",8,5,"disamb","fp",70,"disamb fp",4,0,254,254,-0.5,0.5
"5998",8,18,"disamb","fp",70,"disamb fp",1,0,308,308,0.5,-0.5
"6000",8,23,"disamb","fp",70,"disamb fp",2,0,284,284,0.5,0.5
"6002",8,19,"disamb","fp",70,"disamb fp",2,0,262,262,0.5,0.5
"6004",8,22,"disamb","fp",70,"disamb fp",1,0,254,254,0.5,-0.5
"6006",8,3,"disamb","fp",70,"disamb fp",2,0,366,366,0.5,0.5
"6824",9,16,"disamb","fp",70,"disamb fp",4,0,798,798,-0.5,0.5
"6826",9,21,"disamb","fp",70,"disamb fp",1,0,634,634,0.5,-0.5
"6828",9,5,"disamb","fp",70,"disamb fp",1,0,402,402,0.5,-0.5
"6830",9,11,"disamb","fp",70,"disamb fp",3,0,278,278,-0.5,-0.5
"6832",9,14,"disamb","fp",70,"disamb fp",2,0,546,546,0.5,0.5
"6834",9,3,"disamb","fp",70,"disamb fp",3,0,278,278,-0.5,-0.5
"6836",9,2,"disamb","fp",70,"disamb fp",2,0,310,310,0.5,0.5
"6838",9,10,"disamb","fp",70,"disamb fp",2,0,240,240,0.5,0.5
"6840",9,24,"disamb","fp",70,"disamb fp",4,0,242,242,-0.5,0.5
"6842",9,7,"disamb","fp",70,"disamb fp",3,0,274,274,-0.5,-0.5
"6844",9,20,"disamb","fp",70,"disamb fp",4,0,250,250,-0.5,0.5
"6846",9,19,"disamb","fp",70,"disamb fp",3,0,402,402,-0.5,-0.5
"6848",9,15,"disamb","fp",70,"disamb fp",3,0,298,298,-0.5,-0.5
"6850",9,1,"disamb","fp",70,"disamb fp",1,0,244,244,0.5,-0.5
"6852",9,18,"disamb","fp",70,"disamb fp",2,0,372,372,0.5,0.5
"6854",9,17,"disamb","fp",70,"disamb fp",1,0,326,326,0.5,-0.5
"6856",9,23,"disamb","fp",70,"disamb fp",3,0,458,458,-0.5,-0.5
"6858",9,9,"disamb","fp",70,"disamb fp",1,0,490,490,0.5,-0.5
"6860",9,13,"disamb","fp",70,"disamb fp",1,0,458,458,0.5,-0.5
"6862",9,4,"disamb","fp",70,"disamb fp",4,0,236,236,-0.5,0.5
"6864",9,22,"disamb","fp",70,"disamb fp",2,0,298,298,0.5,0.5
"6866",9,8,"disamb","fp",70,"disamb fp",4,0,372,372,-0.5,0.5
