"","subject","item","region","measure","proficiency1","proficiency2","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"6272",8,6,"disamb","rp",70,0.5,"disamb rp",1,0,290,290,0.5,-0.5,290
"6274",8,20,"disamb","rp",70,0.5,"disamb rp",3,0,338,338,-0.5,-0.5,338
"6276",8,2,"disamb","rp",70,0.5,"disamb rp",1,0,194,194,0.5,-0.5,194
"6278",8,11,"disamb","rp",70,0.5,"disamb rp",2,0,404,404,0.5,0.5,404
"6280",8,7,"disamb","rp",70,0.5,"disamb rp",2,0,308,308,0.5,0.5,308
"6282",8,24,"disamb","rp",70,0.5,"disamb rp",3,0,174,174,-0.5,-0.5,174
"6284",8,5,"disamb","rp",70,0.5,"disamb rp",4,0,254,254,-0.5,0.5,254
"6286",8,18,"disamb","rp",70,0.5,"disamb rp",1,0,692,692,0.5,-0.5,692
"6288",8,23,"disamb","rp",70,0.5,"disamb rp",2,0,284,284,0.5,0.5,284
"6290",8,19,"disamb","rp",70,0.5,"disamb rp",2,0,262,262,0.5,0.5,262
"6292",8,22,"disamb","rp",70,0.5,"disamb rp",1,0,254,254,0.5,-0.5,254
"6294",8,3,"disamb","rp",70,0.5,"disamb rp",2,0,366,366,0.5,0.5,366
"7112",9,16,"disamb","rp",70,0.5,"disamb rp",4,0,798,798,-0.5,0.5,798
"7114",9,21,"disamb","rp",70,0.5,"disamb rp",1,0,634,634,0.5,-0.5,634
"7116",9,5,"disamb","rp",70,0.5,"disamb rp",1,0,402,402,0.5,-0.5,402
"7118",9,11,"disamb","rp",70,0.5,"disamb rp",3,0,278,278,-0.5,-0.5,278
"7120",9,14,"disamb","rp",70,0.5,"disamb rp",2,0,6262,6262,0.5,0.5,NA
"7122",9,3,"disamb","rp",70,0.5,"disamb rp",3,0,278,278,-0.5,-0.5,278
"7124",9,2,"disamb","rp",70,0.5,"disamb rp",2,0,310,310,0.5,0.5,310
"7126",9,10,"disamb","rp",70,0.5,"disamb rp",2,0,240,240,0.5,0.5,240
"7128",9,24,"disamb","rp",70,0.5,"disamb rp",4,0,242,242,-0.5,0.5,242
"7130",9,7,"disamb","rp",70,0.5,"disamb rp",3,0,274,274,-0.5,-0.5,274
"7132",9,20,"disamb","rp",70,0.5,"disamb rp",4,0,250,250,-0.5,0.5,250
"7134",9,19,"disamb","rp",70,0.5,"disamb rp",3,0,2000,2000,-0.5,-0.5,2000
"7136",9,15,"disamb","rp",70,0.5,"disamb rp",3,0,298,298,-0.5,-0.5,298
"7138",9,1,"disamb","rp",70,0.5,"disamb rp",1,0,3018,3018,0.5,-0.5,3018
"7140",9,18,"disamb","rp",70,0.5,"disamb rp",2,0,1552,1552,0.5,0.5,1552
"7142",9,17,"disamb","rp",70,0.5,"disamb rp",1,0,984,984,0.5,-0.5,984
"7144",9,23,"disamb","rp",70,0.5,"disamb rp",3,0,458,458,-0.5,-0.5,458
"7146",9,9,"disamb","rp",70,0.5,"disamb rp",1,0,490,490,0.5,-0.5,490
"7148",9,13,"disamb","rp",70,0.5,"disamb rp",1,0,458,458,0.5,-0.5,458
"7150",9,4,"disamb","rp",70,0.5,"disamb rp",4,0,766,766,-0.5,0.5,766
"7152",9,22,"disamb","rp",70,0.5,"disamb rp",2,0,1100,1100,0.5,0.5,1100
"7154",9,8,"disamb","rp",70,0.5,"disamb rp",4,0,372,372,-0.5,0.5,372
"7156",9,12,"disamb","rp",70,0.5,"disamb rp",4,0,192,192,-0.5,0.5,192
"7158",9,6,"disamb","rp",70,0.5,"disamb rp",2,0,248,248,0.5,0.5,248
"7975",10,23,"disamb","rp",63,0.5,"disamb rp",4,0,2400,2400,-0.5,0.5,2400
"7977",10,18,"disamb","rp",63,0.5,"disamb rp",3,0,252,252,-0.5,-0.5,252
"7979",10,19,"disamb","rp",63,0.5,"disamb rp",4,0,204,204,-0.5,0.5,204
"7981",10,16,"disamb","rp",63,0.5,"disamb rp",1,0,1862,1862,0.5,-0.5,1862
"7983",10,17,"disamb","rp",63,0.5,"disamb rp",2,0,258,258,0.5,0.5,258
"7985",10,1,"disamb","rp",63,0.5,"disamb rp",2,0,4518,4518,0.5,0.5,4518
"7987",10,22,"disamb","rp",63,0.5,"disamb rp",3,0,404,404,-0.5,-0.5,404
"7989",10,20,"disamb","rp",63,0.5,"disamb rp",1,0,154,154,0.5,-0.5,154
"7991",10,14,"disamb","rp",63,0.5,"disamb rp",3,0,244,244,-0.5,-0.5,244
"7993",10,11,"disamb","rp",63,0.5,"disamb rp",4,0,340,340,-0.5,0.5,340
"7995",10,15,"disamb","rp",63,0.5,"disamb rp",4,0,430,430,-0.5,0.5,430
"7997",10,7,"disamb","rp",63,0.5,"disamb rp",4,0,640,640,-0.5,0.5,640
"7999",10,13,"disamb","rp",63,0.5,"disamb rp",2,0,392,392,0.5,0.5,392
"8001",10,24,"disamb","rp",63,0.5,"disamb rp",1,0,2706,2706,0.5,-0.5,2706
"8003",10,8,"disamb","rp",63,0.5,"disamb rp",1,0,236,236,0.5,-0.5,236
"8005",10,3,"disamb","rp",63,0.5,"disamb rp",4,0,924,924,-0.5,0.5,924
"8007",10,6,"disamb","rp",63,0.5,"disamb rp",3,0,238,238,-0.5,-0.5,238
"8009",10,4,"disamb","rp",63,0.5,"disamb rp",1,0,1156,1156,0.5,-0.5,1156
"8011",10,5,"disamb","rp",63,0.5,"disamb rp",2,0,242,242,0.5,0.5,242
"8013",10,21,"disamb","rp",63,0.5,"disamb rp",2,0,136,136,0.5,0.5,136
"8015",10,9,"disamb","rp",63,0.5,"disamb rp",2,0,218,218,0.5,0.5,218
"8017",10,2,"disamb","rp",63,0.5,"disamb rp",3,0,234,234,-0.5,-0.5,234
"8019",10,12,"disamb","rp",63,0.5,"disamb rp",1,0,172,172,0.5,-0.5,172
"8021",10,10,"disamb","rp",63,0.5,"disamb rp",3,0,188,188,-0.5,-0.5,188
"8839",11,3,"disamb","rp",75,-0.5,"disamb rp",1,0,170,170,0.5,-0.5,170
"8841",11,18,"disamb","rp",75,-0.5,"disamb rp",4,0,432,432,-0.5,0.5,432
"8843",11,24,"disamb","rp",75,-0.5,"disamb rp",2,0,318,318,0.5,0.5,318
"8845",11,15,"disamb","rp",75,-0.5,"disamb rp",1,0,380,380,0.5,-0.5,380
"8847",11,9,"disamb","rp",75,-0.5,"disamb rp",3,0,326,326,-0.5,-0.5,326
"8849",11,10,"disamb","rp",75,-0.5,"disamb rp",4,0,574,574,-0.5,0.5,574
"8851",11,2,"disamb","rp",75,-0.5,"disamb rp",4,0,372,372,-0.5,0.5,372
"8853",11,19,"disamb","rp",75,-0.5,"disamb rp",1,0,1086,1086,0.5,-0.5,1086
"8855",11,12,"disamb","rp",75,-0.5,"disamb rp",2,0,2080,2080,0.5,0.5,2080
"8857",11,16,"disamb","rp",75,-0.5,"disamb rp",2,0,630,630,0.5,0.5,630
