"","subject","item","region","measure","sort","condition","skips","rawdata","nozero","proficiency","ambiguity","continuation","trimmed_nozero"
"418",9,34,"disamb","fp","disamb fp",6,0,376,376,71,-0.5,-0.5,376
"420",9,36,"disamb","fp","disamb fp",8,0,216,216,71,-0.5,0.5,216
"422",9,35,"disamb","fp","disamb fp",7,0,204,204,71,0.5,0.5,204
"424",9,48,"disamb","fp","disamb fp",8,0,280,280,71,-0.5,0.5,280
"426",9,42,"disamb","fp","disamb fp",6,0,548,548,71,-0.5,-0.5,548
"429",10,30,"disamb","fp","disamb fp",7,0,198,198,71,0.5,0.5,198
"431",10,32,"disamb","fp","disamb fp",5,0,362,362,71,0.5,-0.5,362
"433",10,41,"disamb","fp","disamb fp",6,0,602,602,71,-0.5,-0.5,602
"435",10,36,"disamb","fp","disamb fp",5,0,466,466,71,0.5,-0.5,466
"437",10,40,"disamb","fp","disamb fp",5,0,446,446,71,0.5,-0.5,446
"439",10,27,"disamb","fp","disamb fp",8,0,420,420,71,-0.5,0.5,420
"441",10,46,"disamb","fp","disamb fp",7,0,330,330,71,0.5,0.5,330
"443",10,42,"disamb","fp","disamb fp",7,0,344,344,71,0.5,0.5,344
"445",10,37,"disamb","fp","disamb fp",6,0,446,446,71,-0.5,-0.5,446
"447",10,28,"disamb","fp","disamb fp",5,0,354,354,71,0.5,-0.5,354
"449",10,35,"disamb","fp","disamb fp",8,0,306,306,71,-0.5,0.5,306
"451",10,48,"disamb","fp","disamb fp",5,0,326,326,71,0.5,-0.5,326
"453",10,33,"disamb","fp","disamb fp",6,0,426,426,71,-0.5,-0.5,426
"455",10,25,"disamb","fp","disamb fp",6,0,328,328,71,-0.5,-0.5,328
"457",10,29,"disamb","fp","disamb fp",6,0,268,268,71,-0.5,-0.5,268
"459",10,31,"disamb","fp","disamb fp",8,0,264,264,71,-0.5,0.5,264
"461",10,44,"disamb","fp","disamb fp",5,0,484,484,71,0.5,-0.5,484
"463",10,34,"disamb","fp","disamb fp",7,0,208,208,71,0.5,0.5,208
"465",10,26,"disamb","fp","disamb fp",7,0,350,350,71,0.5,0.5,350
"467",10,39,"disamb","fp","disamb fp",8,0,308,308,71,-0.5,0.5,308
"469",10,47,"disamb","fp","disamb fp",8,0,216,216,71,-0.5,0.5,216
"471",10,38,"disamb","fp","disamb fp",7,0,396,396,71,0.5,0.5,396
"473",10,45,"disamb","fp","disamb fp",6,0,330,330,71,-0.5,-0.5,330
"475",10,43,"disamb","fp","disamb fp",8,0,304,304,71,-0.5,0.5,304
"477",11,25,"disamb","fp","disamb fp",7,0,856,856,71,0.5,0.5,856
"479",11,45,"disamb","fp","disamb fp",7,0,836,836,71,0.5,0.5,836
"481",11,26,"disamb","fp","disamb fp",8,0,666,666,71,-0.5,0.5,666
"483",11,46,"disamb","fp","disamb fp",8,0,420,420,71,-0.5,0.5,420
"485",11,27,"disamb","fp","disamb fp",5,0,432,432,71,0.5,-0.5,432
"487",11,31,"disamb","fp","disamb fp",5,0,714,714,71,0.5,-0.5,714
"489",11,41,"disamb","fp","disamb fp",7,0,1262,1262,71,0.5,0.5,1262
"491",11,30,"disamb","fp","disamb fp",8,0,446,446,71,-0.5,0.5,446
"493",11,38,"disamb","fp","disamb fp",8,0,666,666,71,-0.5,0.5,666
"495",11,47,"disamb","fp","disamb fp",5,0,758,758,71,0.5,-0.5,758
"497",11,36,"disamb","fp","disamb fp",6,0,522,522,71,-0.5,-0.5,522
"499",11,37,"disamb","fp","disamb fp",7,0,518,518,71,0.5,0.5,518
"501",11,32,"disamb","fp","disamb fp",6,0,552,552,71,-0.5,-0.5,552
"503",11,44,"disamb","fp","disamb fp",6,0,876,876,71,-0.5,-0.5,876
"505",11,43,"disamb","fp","disamb fp",5,0,784,784,71,0.5,-0.5,784
"507",11,28,"disamb","fp","disamb fp",6,0,252,252,71,-0.5,-0.5,252
"509",11,48,"disamb","fp","disamb fp",6,0,760,760,71,-0.5,-0.5,760
"511",11,42,"disamb","fp","disamb fp",8,0,390,390,71,-0.5,0.5,390
"513",11,40,"disamb","fp","disamb fp",6,0,806,806,71,-0.5,-0.5,806
"515",11,35,"disamb","fp","disamb fp",5,0,836,836,71,0.5,-0.5,836
"517",11,33,"disamb","fp","disamb fp",7,0,686,686,71,0.5,0.5,686
"519",11,39,"disamb","fp","disamb fp",5,0,628,628,71,0.5,-0.5,628
"521",11,29,"disamb","fp","disamb fp",7,0,386,386,71,0.5,0.5,386
"523",11,34,"disamb","fp","disamb fp",8,0,416,416,71,-0.5,0.5,416
