"","X","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation"
"217",23473,"Native",10,40,"disamb","tt","disamb tt",5,0,810,810,0.5,0.5
"218",23475,"Native",10,25,"disamb","tt","disamb tt",6,0,291,291,0.5,0.5
"219",23477,"Native",10,28,"disamb","tt","disamb tt",5,0,610,610,0.5,0.5
"220",23479,"Native",10,29,"disamb","tt","disamb tt",6,0,364,364,0.5,0.5
"221",23481,"Native",10,47,"disamb","tt","disamb tt",8,1,0,NA,0.5,0.5
"222",23483,"Native",10,37,"disamb","tt","disamb tt",6,0,431,431,0.5,0.5
"223",23485,"Native",10,30,"disamb","tt","disamb tt",7,0,353,353,0.5,0.5
"224",23487,"Native",10,45,"disamb","tt","disamb tt",6,0,180,180,0.5,0.5
"225",23489,"Native",10,36,"disamb","tt","disamb tt",5,1,0,NA,0.5,0.5
"226",23491,"Native",10,26,"disamb","tt","disamb tt",7,0,284,284,0.5,0.5
"227",23493,"Native",10,32,"disamb","tt","disamb tt",5,0,281,281,0.5,0.5
"228",23495,"Native",10,43,"disamb","tt","disamb tt",8,0,304,304,0.5,0.5
"229",23497,"Native",10,33,"disamb","tt","disamb tt",6,0,181,181,0.5,0.5
"230",23499,"Native",10,31,"disamb","tt","disamb tt",8,1,0,NA,0.5,0.5
"231",23501,"Native",10,39,"disamb","tt","disamb tt",8,0,618,618,0.5,0.5
"232",23503,"Native",10,42,"disamb","tt","disamb tt",7,0,655,655,0.5,0.5
"233",23505,"Native",10,48,"disamb","tt","disamb tt",5,0,800,800,0.5,0.5
"234",23507,"Native",10,27,"disamb","tt","disamb tt",8,0,160,160,0.5,0.5
"235",23509,"Native",10,35,"disamb","tt","disamb tt",8,0,675,675,0.5,0.5
"236",23511,"Native",10,46,"disamb","tt","disamb tt",7,0,188,188,0.5,0.5
"237",23513,"Native",10,38,"disamb","tt","disamb tt",7,0,367,367,0.5,0.5
"238",23515,"Native",10,34,"disamb","tt","disamb tt",7,0,410,410,0.5,0.5
"239",23517,"Native",10,44,"disamb","tt","disamb tt",5,0,393,393,0.5,0.5
"240",23519,"Native",10,41,"disamb","tt","disamb tt",6,0,264,264,0.5,0.5
"241",23521,"Native",11,37,"disamb","tt","disamb tt",7,0,1524,1524,0.5,0.5
"242",23523,"Native",11,43,"disamb","tt","disamb tt",5,0,776,776,0.5,0.5
"243",23525,"Native",11,34,"disamb","tt","disamb tt",8,0,672,672,0.5,0.5
